,bv_id,title,pubdate,author,view,like,danmaku
0,BV1wJA7z5E8L,"全网超详细！体验新小米<em class=""keyword"">SU7</em>",2026-03-20,韩路有点意思,525970,6111,2103
1,BV1k3AwzeEBf,"可能是全网最“拼”的新<em class=""keyword"">SU7</em>车评…",2026-03-21,大家车言论,309930,18732,899
2,,"小米<em class=""keyword"">Su</em>7麒麟电池包拆解",1970-01-01,才神道,285041,0,0
3,BV1NGALz3EsG,"小米<em class=""keyword"">SU7</em>媒体试驾是不审稿的",2026-03-20,顺晨杨,1042524,15775,1966
4,BV1z1AEzLEfF,"【大虾沉浸式试车】靛石绿！新一代小米<em class=""keyword"">SU7</em> MAX版👉快来快来～带你沉浸式体验！",2026-03-20,大虾试车真香,804042,15478,2698
5,BV1jmwkzMEDK,"小米新<em class=""keyword"">SU7</em>首发体验：都改好了？",2026-03-20,花生説车,1013619,7725,1805
6,BV1AwQqBMEyR,"赛道性能/辅助驾驶 新一代<em class=""keyword"">SU7</em>能否战胜竞品？",2026-03-24,懂车帝原创,46902,1872,636
7,BV1FHQ1B4E3P,"就充一次电！小米新<em class=""keyword"">SU7</em>能从北京开到上海？",2026-03-25,大鹏快开车,28617,1836,600
8,,"小米<em class=""keyword"">su</em>7标准版弗迪电池包拆解",1970-01-01,才神道,2821,0,0
9,BV1dDQdBjEU5,"苏炳添对雷军“开大”？当着几万网友的面说小米<em class=""keyword"">SU7</em>缺点…",2026-03-23,爆炒吗喽,56212,1535,75
10,BV1igAjzhEX7,"一条视频，回顾新一代<em class=""keyword"">SU7</em>年发布会全程",2026-03-20,小米汽车,31854,1138,140
11,BV1NrAFzKEmu,"全新一代小米<em class=""keyword"">su7</em>上市怎么看，看完这5点你就懂了",2026-03-21,超哥超车,721332,34134,5334
12,BV1iAQ6BPEuC,"赛道体验新一代小米<em class=""keyword"">SU7</em>",2026-03-25,38号车评中心官方账号,22229,1062,151
13,BV1ZnQrB6Egy,"新一代<em class=""keyword"">SU7</em>制动性能大升级",2026-03-24,小米汽车,17076,1099,61
14,BV12bwkznEST,"新一代小米<em class=""keyword"">SU7</em> 详细体验 全面升级 未来继续保值 | 那岩KJMX【科技美学现场】问驾",2026-03-20,科技美学,644970,11719,2079
15,BV1gdAGz5EaL,"老车主首发体验新<em class=""keyword"">SU7</em> 有的发布会没说啊？｜唯一的不同 是处处都不同",2026-03-20,普通人GreyWolfe,87050,4276,953
16,BV1PMAVzKE8J,"[杜比]新一代<em class=""keyword"">SU7</em>全网首测，场场都是决战小米准备好了吗？",2026-03-20,两颗皮蛋,354433,14959,576
17,BV1roQCB9EZV,"新一代小米<em class=""keyword"">SU7</em> 丨简单体验",2026-03-25,繁琦琦,1335,30,20
18,BV1YZANzfEM4,"新一代<em class=""keyword"">SU7</em> 小米春季新品发布会  回放完整版",2026-03-22,下次一定YAY,6018,74,25
19,BV1GSAGzEEBV,"新 <em class=""keyword"">SU7</em>都更新了什么？",2026-03-20,春森同学在路上,73679,1320,340
20,BV15ZAEzTEqq,"新一代小米<em class=""keyword"">SU7</em>还是驾驶者之车吗",2026-03-20,二挡起步车评,486824,8403,1237
21,BV1dsAVzWE95,"小米家族到齐！21.99万起售 新一代<em class=""keyword"">SU7</em>首试",2026-03-20,懂车帝原创,161345,4475,742
22,BV1sBQZBPE3G,"你的小米<em class=""keyword"">SU7</em>还没有激情下单？",2026-03-23,潼妮爱开车,5643,140,11
23,BV1E6A5zAEaB,"新小米<em class=""keyword"">SU7</em>，40分钟全网最详细解读，究竟新在哪？",2026-03-20,野生11,670366,7386,2493
24,BV1cmtHebEab,"600万粉丝生活区UP主开什么车？贤宝宝买小米<em class=""keyword"">SU7</em>真后悔了吗？！",2024-09-20,Upspeed盛嘉成,1831934,116299,6617
25,BV1MwAVzgEGB,"新一代小米 <em class=""keyword"">SU7</em> 的辅助驾驶 XLA 表现怎么样？",2026-03-20,Navis-慢点评测,31224,361,83
26,BV1CUA3zFESp,"26款小米<em class=""keyword"">su7</em>购车协议解读？李鸿章来了敢签？，不敢说不敢说，米粉买吧 一买一个不吱声。",2026-03-22,雷总小小迷弟重生版,151966,2521,432
27,BV1QBQoB5Ek4,"小米<em class=""keyword"">su7</em>天塌了！尚界Z7起售价干到了22.98万元，配置还比小米<em class=""keyword"">su7</em>更强，正式售价估计是21.98万元，直接正面硬刚小米<em class=""keyword"">su7</em>，搭载华为896线激光雷达",2026-03-23,菊厂的汽车世界,112347,541,73
28,BV1oCQ9BVEDo,"雷军给新一代<em class=""keyword"">su7</em>首批8位车主开车门！",2026-03-23,大家车评论,36020,1108,149
29,BV13ZA5zDEtC,"新<em class=""keyword"">SU7</em>开了186公里，优点缺点是啥？值得买吗？",2026-03-20,不是车评,147950,3798,429
30,BV1L1Q6BvE3v,"沉浸式体验新一代小米<em class=""keyword"">SU7</em>",2026-03-24,胡正阳-,4114,102,0
31,BV1uPA7zsEAf,"新一代<em class=""keyword"">SU7</em> 还运动吗",2026-03-20,低转中年李伟龙,75784,5516,297
32,BV1CiAjzCELq,"小米<em class=""keyword"">SU7</em>全系性能实测 让您看懂看透看爽",2026-03-20,易车实测,24395,562,216
33,BV1dGwYzgEZD,"新一代<em class=""keyword"">SU7</em>和尚界Z7“贴脸”开打，小米能否守住核心阵地？",2026-03-18,懂车帝视线,123639,2510,498
34,BV1vwAGznEiJ,"【雷军】和李田原一起介绍 新一代<em class=""keyword"">SU7</em> 靛石绿",2026-03-22,雷军,119648,7352,283
35,BV1CSAVzTECm,"老车主破防！试完新一代小米<em class=""keyword"">SU7</em>我沉默了…",2026-03-20,问驾,212475,1618,245
36,BV1CoQRBWEV7,"新一代<em class=""keyword"">SU7</em>九色实拍",2026-03-23,付卷卷JoJo,18148,759,66
37,BV1K3w1z8E87,"小米有了轻奢的质感 全新一代<em class=""keyword"">SU7</em>",2026-03-20,赛车手谢欣哲,102447,3031,1067
38,BV1J1AjzqEit,"都来看新一代<em class=""keyword"">SU7</em>！",2026-03-20,随缘小童,524507,5398,539
39,BV1WoQiBrERS,"推荐值90%！探店新一代<em class=""keyword"">SU7</em>，标准版最香",2026-03-24,车业杂谈,234,3,0
40,BV1YJQZBjEDs,"新一代小米<em class=""keyword"">SU7</em>标准版驾控体验",2026-03-23,Chien丶丶,1925,27,0
41,BV1YkQBBfEoE,"新一代<em class=""keyword"">SU7</em>到底更新了啥？",2026-03-24,追求性能的熊导,2092,61,5
42,BV1anwyzeE87,"全体起立！大象看<em class=""keyword"">SU7</em>价格发布瞬间，当场下单！",2026-03-19,拂乱的风的切片屋,453563,3984,396
43,BV1hdAAzpE5U,"听说不赶解禁时间看的人更多？小米新<em class=""keyword"">SU7</em>山路激烈驾驶体验！",2026-03-22,Car4Fun,28081,1136,164
44,BV1Bbf1BTEFK,"小米<em class=""keyword"">SU7</em> Ultra纽北被法拉利保时捷猎杀，冠军车手为何沉默？",2026-02-24,懂车帝原创,1499883,82864,12570
45,BV1phAGzhEjY,"雷总特意强调ETC免费有何用意！查完恍然大悟#小米<em class=""keyword"">su7</em> #雷军 #华为汽车 #问界m9 #etc",2026-03-22,你的大叔聊电车,119500,1436,92
46,BV12EQBBLETP,"新一代 Xiaomi <em class=""keyword"">SU7</em> 标准款提车记录及电耗分享",2026-03-24,晚霞微风xx,9523,259,4
47,BV1e4AszQERn,"<em class=""keyword"">SU7</em>老车主试驾新一代<em class=""keyword"">SU7</em>！底盘、智驾、HUD全都变强了！",2026-03-21,开YU7和SU7的阿乐,8669,170,2
48,BV1CfA7z2Ebu,"新一代<em class=""keyword"">SU7</em>标准版开起来怎么样？动态驾驶感受 真的性价比爆炸",2026-03-20,小郑小郑啊zw,5258,44,1
49,BV1bD421u7d5,"小米<em class=""keyword"">SU7</em>《行走的说明书》｜值得收藏好的视频",2024-06-26,超棒发声,197540,8192,641
50,BV1gYQzBREbb,享界s9麋鹿测试打滑!这就是遥遥领先的机械素质?,2026-03-24,糖丸社,78053,2510,108
51,BV1UaQqB2EVG,"小米新<em class=""keyword"">SU7</em>开起来质感变了？带你第一视角沉浸式试驾体验",2026-03-24,深圳陈子昂汽车版,1529,37,3
52,BV1R8QCBGES3,"孙少军快报：小米新一代<em class=""keyword"">su7</em>，不到一周，锁单超过3.5万。10个人中7个不考虑其他品牌，2个对对特斯拉。",2026-03-25,Androidup凤爪弟,8734,115,37
53,BV1Eh8Rz1EP4,"全网最帅的小米<em class=""keyword"">SU7</em> Ultra飘移大片！",2025-07-29,Upspeed盛嘉成,4719807,268160,35070
54,BV1NdofYfEyk,"开小米<em class=""keyword"">SU7</em>沉浸式下班",2025-04-02,超大杯柠檬,507917,6009,1376
55,BV1T8QZBzEKu,"22.98万元起！一分钟说清尚界Z7，真能掀翻小米<em class=""keyword"">SU7</em>？",2026-03-23,最热科技,24565,118,42
56,BV19UAWzmEZ9,"830km 太逆天了！新<em class=""keyword"">SU7</em> Pro续航趴窝测试 ，从早跑到晚 从清晨到半夜小米实在是太能跑了！👍",2026-03-21,小迪的狸花咪TwT,168079,2294,44
57,BV1MAALz7E65,"舒淇提问雷军:为什么当时第一代<em class=""keyword"">su7</em>没找自己代言？看看雷总怎么说？",2026-03-20,大家车评论,209202,5656,83
58,BV1x6XwBEEp1,"感受下新 <em class=""keyword"">SU7</em> 车内氛围…",2026-03-24,吕亮车生活,1527,27,0
59,BV1u8AEz4EWx,"新一代<em class=""keyword"">su7</em>详细内饰用料体验，一镜到底看看新<em class=""keyword"">su7</em>的产品力如何",2026-03-20,板凳叔叔,3849,43,16
60,BV1HBAjzGEjK,"续航差点破900公里？！全新小米<em class=""keyword"">SU7</em>全系实测",2026-03-20,之家试车,60384,1002,119
