,bv_id,title,pubdate,author,view,like,danmaku
0,BV1wJA7z5E8L,"全网超详细！体验新<em class=""keyword"">小米SU7</em>",2026-03-20,韩路有点意思,525961,6111,2103
1,BV1jmwkzMEDK,"<em class=""keyword"">小米</em>新<em class=""keyword"">SU7</em>首发体验：都改好了？",2026-03-20,花生説车,1013611,7725,1805
2,,"Three.js<em class=""keyword"">小米Su</em>7复刻教程（技术+美术）",1970-01-01,Web3D胖达,51572,0,0
3,BV1k3AwzeEBf,"可能是全网最“拼”的新<em class=""keyword"">SU7</em>车评…",2026-03-21,大家车言论,309811,18730,899
4,BV1z1AEzLEfF,"【大虾沉浸式试车】靛石绿！新一代<em class=""keyword"">小米SU7</em> MAX版👉快来快来～带你沉浸式体验！",2026-03-20,大虾试车真香,804017,15477,2698
5,BV1roQCB9EZV,"新一代<em class=""keyword"">小米SU7</em> 丨简单体验",2026-03-25,繁琦琦,1330,30,20
6,BV1FHQ1B4E3P,"就充一次电！<em class=""keyword"">小米</em>新<em class=""keyword"">SU7</em>能从北京开到上海？",2026-03-25,大鹏快开车,27696,1810,579
7,BV1iAQ6BPEuC,"赛道体验新一代<em class=""keyword"">小米SU7</em>",2026-03-25,38号车评中心官方账号,21925,1054,151
8,BV1L1Q6BvE3v,"沉浸式体验新一代<em class=""keyword"">小米SU7</em>",2026-03-24,胡正阳-,4108,102,0
9,,"<em class=""keyword"">小米su</em>7 Max版麒麟电芯拆解",1970-01-01,才神道,40149,0,0
10,BV1NGALz3EsG,"<em class=""keyword"">小米SU7</em>媒体试驾是不审稿的",2026-03-20,顺晨杨,1042468,15773,1966
11,BV1CUA3zFESp,"26款<em class=""keyword"">小米su7</em>购车协议解读？李鸿章来了敢签？，不敢说不敢说，米粉买吧 一买一个不吱声。",2026-03-22,雷总小小迷弟重生版,151917,2522,432
12,BV1NrAFzKEmu,"全新一代<em class=""keyword"">小米su7</em>上市怎么看，看完这5点你就懂了",2026-03-21,超哥超车,721298,34132,5334
13,BV1FTwyz5EuQ,"【<em class=""keyword"">小米</em>发布会】新一代<em class=""keyword"">SU7</em> <em class=""keyword"">小米</em>春季新品发布会 [原生画质]",2026-03-19,中二少年Hassium,59553,1205,789
14,BV1dDQdBjEU5,"苏炳添对雷军“开大”？当着几万网友的面说<em class=""keyword"">小米SU7</em>缺点…",2026-03-23,爆炒吗喽,56209,1535,75
15,BV1vwAGznEiJ,"【雷军】和李田原一起介绍 新一代<em class=""keyword"">SU7</em> 靛石绿",2026-03-22,雷军,119644,7352,283
16,BV1CoQRBWEV7,"新一代<em class=""keyword"">SU7</em>九色实拍",2026-03-23,付卷卷JoJo,18144,759,66
17,BV1QeAVz7Eib,"21.99万起售！新一代<em class=""keyword"">SU7</em>保姆级导购教程",2026-03-20,懂车兄阿森,343467,13120,1901
18,BV15ZAEzTEqq,"新一代<em class=""keyword"">小米SU7</em>还是驾驶者之车吗",2026-03-20,二挡起步车评,486820,8403,1237
19,BV12EQBBLETP,"新一代 Xiaomi <em class=""keyword"">SU7</em> 标准款提车记录及电耗分享",2026-03-24,晚霞微风xx,9498,258,4
20,BV1R8QCBGES3,"孙少军快报：<em class=""keyword"">小米</em>新一代<em class=""keyword"">su7</em>，不到一周，锁单超过3.5万。10个人中7个不考虑其他品牌，2个对对特斯拉。",2026-03-25,Androidup凤爪弟,8561,115,36
21,BV1YZANzfEM4,"新一代<em class=""keyword"">SU7</em> <em class=""keyword"">小米</em>春季新品发布会  回放完整版",2026-03-22,下次一定YAY,6018,74,25
22,,"<em class=""keyword"">小米su</em>7标准版弗迪电池包拆解",1970-01-01,才神道,2821,0,0
23,BV1xeAEzXEXe,"新一代<em class=""keyword"">SU7</em> 全系搭载<em class=""keyword"">小米</em>澎湃智能座舱。",2026-03-20,小米汽车,26273,996,107
24,BV1E6A5zAEaB,"新<em class=""keyword"">小米SU7</em>，40分钟全网最详细解读，究竟新在哪？",2026-03-20,野生11,670352,7386,2493
25,BV1QBQoB5Ek4,"<em class=""keyword"">小米su7</em>天塌了！尚界Z7起售价干到了22.98万元，配置还比<em class=""keyword"">小米su7</em>更强，正式售价估计是21.98万元，直接正面硬刚<em class=""keyword"">小米su7</em>，搭载华为896线激光雷达",2026-03-23,菊厂的汽车世界,112327,541,73
26,BV1igAjzhEX7,"一条视频，回顾新一代<em class=""keyword"">SU7</em>年发布会全程",2026-03-20,小米汽车,31854,1138,140
27,BV1dsAVzWE95,"<em class=""keyword"">小米</em>家族到齐！21.99万起售 新一代<em class=""keyword"">SU7</em>首试",2026-03-20,懂车帝原创,161339,4475,742
28,BV1Bbf1BTEFK,"<em class=""keyword"">小米SU7</em> Ultra纽北被法拉利保时捷猎杀，冠军车手为何沉默？",2026-02-24,懂车帝原创,1499879,82863,12570
29,BV1BKQyBmEEM,"我很傻吗？43岁大叔盲定<em class=""keyword"">小米</em>新一代<em class=""keyword"">SU7</em>",2026-03-25,心若定,1308,127,3
30,BV1CSAVzTECm,"老车主破防！试完新一代<em class=""keyword"">小米SU7</em>我沉默了…",2026-03-20,问驾,212473,1618,245
31,BV1QcQoBzEwN,"【雷军】完整直播回放 2026.3.23「新一代<em class=""keyword"">SU7</em>首批车主交付仪式｜特邀嘉宾 <em class=""keyword"">小米</em>汽车品牌代言人：苏炳添｜全程回放」",2026-03-23,冰蓝色蛋挞,2154,52,2
32,BV19oQdBGEJL,"【雷军】直播 新一代<em class=""keyword"">SU7</em> 首批车主交付仪式 [原生画质]",2026-03-23,中二少年Hassium,4293,149,10
33,BV13ZA5zDEtC,"新<em class=""keyword"">SU7</em>开了186公里，优点缺点是啥？值得买吗？",2026-03-20,不是车评,147941,3798,429
34,BV1K3w1z8E87,"<em class=""keyword"">小米</em>有了轻奢的质感 全新一代<em class=""keyword"">SU7</em>",2026-03-20,赛车手谢欣哲,102445,3031,1067
35,BV1AwQqBMEyR,"赛道性能/辅助驾驶 新一代<em class=""keyword"">SU7</em>能否战胜竞品？",2026-03-24,懂车帝原创,46810,1869,635
36,BV19UAWzmEZ9,"830km 太逆天了！新<em class=""keyword"">SU7</em> Pro续航趴窝测试 ，从早跑到晚 从清晨到半夜<em class=""keyword"">小米</em>实在是太能跑了！👍",2026-03-21,小迪的狸花咪TwT,168077,2294,44
37,BV1gdAGz5EaL,"老车主首发体验新<em class=""keyword"">SU7</em> 有的发布会没说啊？｜唯一的不同 是处处都不同",2026-03-20,普通人GreyWolfe,87036,4276,953
38,BV11CAVz3EfY,"全新<em class=""keyword"">小米SU7</em>内饰细节大揭秘",2026-03-19,布软达爱雪雯,13895,184,10
39,BV1qs421N7pX,"入门版<em class=""keyword"">小米SU7</em>不太行？和顶配差距有多大？【还没车41】",2024-05-08,北极土豆,1712472,27964,7998
40,BV1YJQZBjEDs,"新一代<em class=""keyword"">小米SU7</em>标准版驾控体验",2026-03-23,Chien丶丶,1925,27,0
41,BV1uPA7zsEAf,"新一代<em class=""keyword"">SU7</em> 还运动吗",2026-03-20,低转中年李伟龙,75784,5516,297
42,,"<em class=""keyword"">小米su</em>7神行电池包拆解",1970-01-01,才神道,7680,0,0
43,BV1mD421V7eq,"40 分钟超详细！<em class=""keyword"">小米</em> <em class=""keyword"">SU7</em> 智能座舱解读！车里带了四把雨伞？",2024-03-29,李大锤同学,641544,7053,5178
44,BV1ijQqBZEWp,"<em class=""keyword"">小米su7</em>沉浸式上早八3.24",2026-03-24,胡萝卜橙汁兒,982,20,1
45,BV12bwkznEST,"新一代<em class=""keyword"">小米SU7</em> 详细体验 全面升级 未来继续保值 | 那岩KJMX【科技美学现场】问驾",2026-03-20,科技美学,644950,11719,2079
46,BV1QpwyzAELR,"新一代<em class=""keyword"">SU7</em> 60km/h速度50%偏置率对撞挑战",2026-03-19,小米汽车,89537,2505,104
47,BV1WDAVzqE5B,"【雷军】感谢朋友们捧场 新一代<em class=""keyword"">SU7</em> 一定大卖！",2026-03-20,雷军,365596,26698,784
48,,"<em class=""keyword"">小米Su</em>7麒麟电池包拆解",1970-01-01,才神道,285039,0,0
49,BV1bD421u7d5,"<em class=""keyword"">小米SU7</em>《行走的说明书》｜值得收藏好的视频",2024-06-26,超棒发声,197540,8192,641
50,BV1sBQZBPE3G,"你的<em class=""keyword"">小米SU7</em>还没有激情下单？",2026-03-23,潼妮爱开车,5641,140,11
51,BV1atApzVEJ6,"【车的发布会】21.99万依然香？雷总直男发言震撼舒淇！新一代<em class=""keyword"">SU7</em>发布会",2026-03-20,车的发布会官方,150727,3998,431
52,BV1PMAVzKE8J,"[杜比]新一代<em class=""keyword"">SU7</em>全网首测，场场都是决战<em class=""keyword"">小米</em>准备好了吗？",2026-03-20,两颗皮蛋,354431,14959,576
53,BV1GSAGzEEBV,"新 <em class=""keyword"">SU7</em>都更新了什么？",2026-03-20,春森同学在路上,73679,1320,340
54,,"<em class=""keyword"">小米su</em>7标准版弗迪电芯拆解",1970-01-01,才神道,5907,0,0
55,BV1CM4m1y7xC,"不吹，不黑，不充值。<em class=""keyword"">小米</em>车主<em class=""keyword"">SU7</em> 4个月真实体验",2024-08-20,白宁的爱车时光,432381,5905,1947
56,BV1nMAFzZEhJ,"新一代<em class=""keyword"">小米SU7</em>选配攻略分享",2026-03-21,燊论,7540,117,15
57,BV1J1AjzqEit,"都来看新一代<em class=""keyword"">SU7</em>！",2026-03-20,随缘小童,524502,5398,539
58,BV1cXXwBgEm6,"雷军没讲透！新一代<em class=""keyword"">SU7</em>标准版才是真的完全体。",2026-03-24,雪饼皮卡的爸爸,8374,296,10
59,BV1KJAdzZEnY,"新<em class=""keyword"">SU7</em>底盘、悬架，十分钟讲透！",2026-03-03,魅力少年马里昂,104163,1157,250
60,BV1Eh8Rz1EP4,"全网最帅的<em class=""keyword"">小米SU7</em> Ultra飘移大片！",2025-07-29,Upspeed盛嘉成,4719807,268160,35070
61,BV1dGwYzgEZD,"新一代<em class=""keyword"">SU7</em>和尚界Z7“贴脸”开打，<em class=""keyword"">小米</em>能否守住核心阵地？",2026-03-18,懂车帝视线,123636,2510,498
62,BV1WoQiBrERS,"推荐值90%！探店新一代<em class=""keyword"">SU7</em>，标准版最香",2026-03-24,车业杂谈,234,3,0
63,BV1LKAAzoEoY,"<em class=""keyword"">小米su7</em>充一次电能从北京跑到上海是真的吗？看完后发现油车续航也就那样了😂",2026-03-21,小迪的狸花咪TwT,44953,937,22
64,BV1pJAMzpECK,"新 <em class=""keyword"">SU7</em> 有点舒服啊…",2026-03-22,吕亮车生活,16217,391,4
65,BV1rkwyzJE5x,"新一代<em class=""keyword"">SU7</em> 从容新一代",2026-03-19,小米公司,257382,11485,331
66,BV17oQzBuEqa,"<em class=""keyword"">小米SU7</em>提车日记",2026-03-25,orangesk8,1860,55,6
67,BV1MwAVzgEGB,"新一代<em class=""keyword"">小米</em> <em class=""keyword"">SU7</em> 的辅助驾驶 XLA 表现怎么样？",2026-03-20,Navis-慢点评测,31220,361,83
68,BV1gPQoBBEzR,"雷军又来交车了！新一代<em class=""keyword"">小米SU7</em>开始交付！",2026-03-23,爆炒吗喽,26336,657,94
69,BV1UaQqB2EVG,"<em class=""keyword"">小米</em>新<em class=""keyword"">SU7</em>开起来质感变了？带你第一视角沉浸式试驾体验",2026-03-24,深圳陈子昂汽车版,1529,37,3
70,BV1waQ9BQEEV,"<em class=""keyword"">小米SU7</em>全系绕桩实测差异有多大？",2026-03-23,之家试车,3303,42,0
71,BV1ZnQrB6Egy,"新一代<em class=""keyword"">SU7</em>制动性能大升级",2026-03-24,小米汽车,17064,1099,61
72,BV1T8QZBzEKu,"22.98万元起！一分钟说清尚界Z7，真能掀翻<em class=""keyword"">小米SU7</em>？",2026-03-23,最热科技,24558,118,42
73,BV1CZALzzEFA,"英国小伙开全新<em class=""keyword"">小米SU7</em>: 外形像保时捷，但谁在乎，当它开得像神一样！",2026-03-20,叔叔有大胡子,38292,911,143
74,BV1d2Q9B3EgQ,"3月23日深圳<em class=""keyword"">小米</em>总部，新一代<em class=""keyword"">su7</em>首批车主交付仪式！（中途网络多次故障！）",2026-03-23,大家车评论,11594,388,33
75,BV1cdAwzeEYY,"新一代<em class=""keyword"">SU7</em> Max能有多猛？！",2026-03-21,杨慢慢追风逐日,470543,12170,288
76,BV1Gcw1zTEb3,"全新一代<em class=""keyword"">小米su7</em>砂陶米内饰细节",2026-03-19,小米汽车浩仔,70678,977,18
77,BV1wyQZBFETC,"新<em class=""keyword"">SU7</em>更重了，但也更强了？！",2026-03-23,杨慢慢追风逐日,130070,4472,118
78,BV1T9QiBCEVE,"首批新<em class=""keyword"">小米SU7</em>提车！底盘变强了？！",2026-03-24,周周开新车,2712,53,6
79,BV1R9QdB5E9d,"雷军公布新一代<em class=""keyword"">SU7</em>的72小时锁单量超3万，最受欢迎的颜色竟然是付费的靛石绿，标准 pro max 比例接近4：3：3",2026-03-23,小迪的狸花咪TwT,10963,271,4
80,BV1LvASzWEKM,"12.98的<em class=""keyword"">小米SU7</em>真是挑不出一点毛病啊",2026-02-27,大褂说车,101076,463,52
81,BV1HzizYjEyb,"五分钟带你快速上手<em class=""keyword"">小米SU7</em>，<em class=""keyword"">小米SU7</em>基本操作及车机功能介绍",2024-12-07,FlyingDK,38270,415,352
82,BV1juQdBLE6j,"【双字】海外卖爆，板上钉钉！英国车评人测评全新<em class=""keyword"">小米SU7</em>",2026-03-23,北白星,11889,231,9
83,BV1NdofYfEyk,"开<em class=""keyword"">小米SU7</em>沉浸式下班",2025-04-02,超大杯柠檬,507916,6009,1376
84,BV1XJ4m177SN,"我买了<em class=""keyword"">小米SU7</em>！",2024-03-29,极速拍档-NANA,5547250,191982,28326
85,BV1H9AszPE9H,"<em class=""keyword"">小米</em>新.<em class=""keyword"">SU7</em>提车日记，终于用上雷军的小曲《Doar Cu Tine (<em class=""keyword"">SU7</em> March)》",2026-03-21,isobicycle,12823,236,10
86,BV1hdAAzpE5U,"听说不赶解禁时间看的人更多？<em class=""keyword"">小米</em>新<em class=""keyword"">SU7</em>山路激烈驾驶体验！",2026-03-22,Car4Fun,28078,1136,164
87,BV1tCAVzGE5A,"辅助驾驶进步明显！新一代<em class=""keyword"">小米SU7</em>初体验，21.99万标准版就很香！",2026-03-20,南哥说车,35157,338,21
88,BV1CiAjzCELq,"<em class=""keyword"">小米SU7</em>全系性能实测 让您看懂看透看爽",2026-03-20,易车实测,24393,562,216
89,BV1MiwxzrEJg,"新<em class=""keyword"">SU7</em>最被低估的颜色 珍珠白实拍",2026-03-14,老树也有几棵新芽,20071,146,7
90,BV11sAAzCE1L,"感受下开新 <em class=""keyword"">SU7</em> 出门…",2026-03-21,吕亮车生活,18386,550,8
91,BV1uAALz7E8w,"<em class=""keyword"">小米</em>新<em class=""keyword"">SU7</em>全网首测：老车主喷的上代槽点全改了？真的更值得买吗？",2026-03-20,极果新车评,187244,1604,530
92,BV1CfA7z2Ebu,"新一代<em class=""keyword"">SU7</em>标准版开起来怎么样？动态驾驶感受 真的性价比爆炸",2026-03-20,小郑小郑啊zw,5258,44,1
93,BV1snPjzmEPT,"全网最细！<em class=""keyword"">小米</em>超跑实拍详解！！！<em class=""keyword"">小米</em>VGT",2026-03-02,Upspeed盛嘉成,3181548,147347,12563
94,BV1ri421C7Hk,"<em class=""keyword"">小米SU7</em>/极氪007拆解对比！用料差距竟不小？！",2024-04-29,易车横评,2406484,137003,15267
95,BV1T1wuzhEpv,"新 <em class=""keyword"">SU7</em> 起飞了…",2026-03-15,吕亮车生活,84746,1917,54
96,BV1QjwMzhEpC,"<em class=""keyword"">小米SU7</em>车主315维权。车主:高速aeb刹停。主持人:是不是海边带了海洋生物",2026-03-15,月飘云月,193404,1530,525
97,BV1ASAwzBEB8,"26款<em class=""keyword"">小米Su7</em>全系最细专业静态深测【含解读质保权益和购车权益】",2026-03-21,黑虾车神,27069,506,160
98,BV1JeAGzbE8K,"<em class=""keyword"">小米</em> <em class=""keyword"">SU</em>72026款合同更狠了！霸王尾款支付从7天变为5天比2024款合同还坑",2026-03-22,一秋名山一封禁版,14469,819,68
99,BV1LWAwzxETf,"「真话试驾」新一代<em class=""keyword"">SU7</em>无敌了？我发现一些不对劲的地方",2026-03-21,满电阿远,16265,569,184
100,BV1MAALz7E65,"舒淇提问雷军:为什么当时第一代<em class=""keyword"">su7</em>没找自己代言？看看雷总怎么说？",2026-03-20,大家车评论,209197,5656,83
101,BV13PAJzAExK,"新一代<em class=""keyword"">小米SU7</em> MAX 全球首试-软了，舒服了",2026-03-20,布软达爱雪雯,5960,55,3
102,BV1ZiAcztEQg,"【雷军】今天去<em class=""keyword"">小米</em>之家探店 真的好多人啊",2026-03-21,雷军,312646,21207,302
103,BV1MQQBBXEse,"Yu7车主如何看待新<em class=""keyword"">小米su7</em>？预测一波yu7改款？",2026-03-24,音乐人开yu7-义律,1708,18,17
104,BV1ri421h7hA,"开到180km/h再猛打一把方向，<em class=""keyword"">小米SU7</em>会翻了么？！",2024-07-19,杨慢慢追风逐日,902528,29250,560
105,BV1Ycw1zTEps,"新一代<em class=""keyword"">小米</em> <em class=""keyword"">SU7</em> 体验：能打败 <em class=""keyword"">SU7</em> 的，真的只有它自己！",2026-03-20,微机分WekiHome,109023,3657,643
106,BV1vjQZBEEwU,"零跑Lafa5：年轻人，你有没有觉得<em class=""keyword"">小米SU7</em>有点贵？",2026-03-23,Tapirman罗飞机,4854,74,6
107,BV19qLtzREAY,"开了3000公里，为什么<em class=""keyword"">小米Su7</em> Ultra让我越开越后悔？【涛哥测评】",2025-04-23,涛哥测评,891367,16337,4012
108,BV1K6AnztEJM,"新款<em class=""keyword"">小米SU7</em>标准版，抢先试驾体验。",2026-03-20,边开边聊,33313,444,21
109,BV1gYQzBREbb,享界s9麋鹿测试打滑!这就是遥遥领先的机械素质?,2026-03-24,糖丸社,78008,2510,108
110,BV1xJ4m1j7tZ,"我为什么买<em class=""keyword"">小米SU7</em>，十五个问题回答你【<em class=""keyword"">小米SU7</em>】",2024-03-29,大家车-曾颖卓,224850,8314,3874
111,BV1zGAnz1ETH,"26款<em class=""keyword"">小米SU7</em>三个版本怎么选？",2026-03-20,超充时刻,16028,200,15
112,BV1qgwyz3ETy,"<em class=""keyword"">小米</em>新<em class=""keyword"">SU7</em>开着更舒服了？首批试驾的我不同意【X.PIN】",2026-03-20,差评汽车部,98273,1550,729
113,BV1h9Q6BFEZA,"什么是情绪价值，新款<em class=""keyword"">小米su7</em>交付了，Z9GT呢",2026-03-24,郝百萬充电中,8806,148,26
114,BV1uf421f7HV,"40分钟聊透<em class=""keyword"">小米SU7</em>",2024-03-29,韩路有点意思,624073,10130,4553
115,BV1S7AAzEEF1,"<em class=""keyword"">小米su7</em>原来是真行！只充一次电，从北京马驹桥到上海汽车会展中心，总行驶里程:1173公里！",2026-03-21,大家车评论,20751,675,25
116,BV141AszzESG,"2026年03月 高盛 <em class=""keyword"">小米</em>集团 发布<em class=""keyword"">SU7</em>改款车型 视频时长18分钟",2026-03-23,研报看世界,2906,27,0
117,BV1qoQqB8EFQ,"疑似<em class=""keyword"">小米</em>新一代<em class=""keyword"">Su7</em>同级车麋鹿测试断轴？贼妻捉贼，果然抄袭是没有未来的！",2026-03-24,十三先生的Ultra生活,33323,549,9
118,BV1e4AszQERn,"<em class=""keyword"">SU7</em>老车主试驾新一代<em class=""keyword"">SU7</em>！底盘、智驾、HUD全都变强了！",2026-03-21,开YU7和SU7的阿乐,8668,170,2
