,bv_id,title,pubdate,author,view,like,danmaku
0,BV1FHQ1B4E3P,"就充一次电！<em class=""keyword"">小米</em>新<em class=""keyword"">SU7</em>能从北京开到上海？",2026-03-25,大鹏快开车,28142,1810,590
1,BV1MwAVzgEGB,"新一代<em class=""keyword"">小米</em> <em class=""keyword"">SU7</em> 的辅助驾驶 XLA 表现怎么样？",2026-03-20,Navis-慢点评测,31224,361,83
2,,"Three.js<em class=""keyword"">小米Su</em>7复刻教程（技术+美术）",1970-01-01,Web3D胖达,51572,0,0
3,BV1xeAEzXEXe,"新一代<em class=""keyword"">SU7</em> 全系搭载<em class=""keyword"">小米</em>澎湃智能座舱。",2026-03-20,小米汽车,26273,996,107
4,BV1pYS9Y9Ejv,"6′46″874：<em class=""keyword"">小米SU7</em> Ultra原型车， 首次冲击纽北纪录片",2024-11-01,雷军,3350859,174642,63769
5,BV1k3AwzeEBf,"可能是全网最“拼”的新<em class=""keyword"">SU7</em>车评…",2026-03-21,大家车言论,309863,18730,899
6,BV1wJA7z5E8L,"全网超详细！体验新<em class=""keyword"">小米SU7</em>",2026-03-20,韩路有点意思,525961,6111,2103
7,BV1XJ4m177SN,"我买了<em class=""keyword"">小米SU7</em>！",2024-03-29,极速拍档-NANA,5547250,191982,28326
8,BV1z1AEzLEfF,"【大虾沉浸式试车】靛石绿！新一代<em class=""keyword"">小米SU7</em> MAX版👉快来快来～带你沉浸式体验！",2026-03-20,大虾试车真香,804017,15477,2698
9,BV1QjwMzhEpC,"<em class=""keyword"">小米SU7</em>车主315维权。车主:高速aeb刹停。主持人:是不是海边带了海洋生物",2026-03-15,月飘云月,193407,1530,525
10,BV1J1Ggz1EHz,"沉浸式开<em class=""keyword"">小米SU7</em>",2025-07-10,鑫仔撩车-二手车,105972,1215,38
11,BV1Jx421k7vh,"<em class=""keyword"">小米</em> <em class=""keyword"">su7</em> <em class=""keyword"">汽车</em>的详细介绍",2024-03-23,豆飞侠,2605,14,0
12,BV1CUA3zFESp,"26款<em class=""keyword"">小米su7</em>购车协议解读？李鸿章来了敢签？，不敢说不敢说，米粉买吧 一买一个不吱声。",2026-03-22,雷总小小迷弟重生版,151917,2522,432
13,,"<em class=""keyword"">小米su</em>7 Max版麒麟电芯拆解",1970-01-01,才神道,40149,0,0
14,BV1Bbf1BTEFK,"<em class=""keyword"">小米SU7</em> Ultra纽北被法拉利保时捷猎杀，冠军车手为何沉默？",2026-02-24,懂车帝原创,1499883,82863,12570
15,BV1dsAVzWE95,"<em class=""keyword"">小米</em>家族到齐！21.99万起售 新一代<em class=""keyword"">SU7</em>首试",2026-03-20,懂车帝原创,161339,4475,742
16,BV14M4m1277u,"发布为止<em class=""keyword"">小米su7</em>二十七个缺点！！！",2024-07-16,不肝不叫乐天,254395,6603,2257
17,BV18cPgzTEDB,"体验<em class=""keyword"">小米SU7</em>车机，同级别“无敌”的存在！",2026-03-01,豫见车市,1702,16,2
18,BV1K3w1z8E87,"<em class=""keyword"">小米</em>有了轻奢的质感 全新一代<em class=""keyword"">SU7</em>",2026-03-20,赛车手谢欣哲,102445,3031,1067
